fname,label
CHM_vt.txtMag 4.wav,Earthquake Sound
CHM_vt.txtMag 6.wav,Earthquake Sound
CHP.txtMag 4.wav,Earthquake Sound
CHP.txtMag 5.wav,Earthquake Sound
CHP_vt.txtMag 3.wav,Earthquake Sound
CHP_vt.txtMag 6.wav,Earthquake Sound
CKR.txtMag 4.wav,Earthquake Sound
CKR.txtMag 5.wav,Earthquake Sound
CKR_vt.txtMag 7.wav,Earthquake Sound
CMO_vt.txtMag 6.wav,Earthquake Sound
COB_vt.txtMag 6.wav,Earthquake Sound
DAS.txtMag 4.wav,Earthquake Sound
DCE_vt.txtMag 2.wav,Earthquake Sound
DCE_vt.txtMag 3.wav,Earthquake Sound
DCE_vt.txtMag 7.wav,Earthquake Sound
DEH.txtMag 4.wav,Earthquake Sound
DEH_vt.txtMag 6.wav,Earthquake Sound
DH_vt.txtMag 7.wav,Earthquake Sound
DHA.txtMag 4.wav,Earthquake Sound
DHA.txtMag 5.wav,Earthquake Sound
DHA_vt.txtMag 3.wav,Earthquake Sound
DHR_vt.txtMag 7.wav,Earthquake Sound
DIB.txtMag 4.wav,Earthquake Sound
DIP.txtMag 5.wav,Earthquake Sound
DIP_vt.txtMag 6.wav,Earthquake Sound
DJB.txtMag 4.wav,Earthquake Sound
DJB_vt.txtMag 2.wav,Earthquake Sound
DJB_vt.txtMag 3.wav,Earthquake Sound
DJB_vt.txtMag 7.wav,Earthquake Sound
DJL.txtMag 4.wav,Earthquake Sound
DJL.txtMag 5.wav,Earthquake Sound
DJL_vt.txtMag 6.wav,Earthquake Sound
DLU.txtMag 4.wav,Earthquake Sound
DLU.txtMag 5.wav,Earthquake Sound
DLU_vt.txtMag 2.wav,Earthquake Sound
DLU_vt.txtMag 3.wav,Earthquake Sound
DLU_vt.txtMag 7.wav,Earthquake Sound
DN_vt.txtMag 7.wav,Earthquake Sound
DNL.txtMag 4.wav,Earthquake Sound
DNL_vt.txtMag 6.wav,Earthquake Sound
DRC_vt.txtMag 3.wav,Earthquake Sound
DSL.txtMag 5.wav,Earthquake Sound
DSL_vt.txtMag 4.wav,Earthquake Sound
DSU.txtMag 4.wav,Earthquake Sound
DU_vt.txtMag 2.wav,Earthquake Sound
DY_vt.txtMag 7.wav,Earthquake Sound
GAR.txtMag 4.wav,Earthquake Sound
GAR_vt.txtMag 3.wav,Earthquake Sound
GAR_vt.txtMag 4.wav,Earthquake Sound
GGI_vt.txtMag 2.wav,Earthquake Sound
GGI_vt.txtMag 3.wav,Earthquake Sound
GHA.txtMag 5.wav,Earthquake Sound
GLP.txtMag 5.wav,Earthquake Sound
GOL.txtMag 4.wav,Earthquake Sound
GOL.txtMag 5.wav,Earthquake Sound
GOL_vt.txtMag 6.wav,Earthquake Sound
GP019.txtMag 4.wav,Earthquake Sound
GTK.txtMag 4.wav,Earthquake Sound
GTK.txtMag 5.wav,Earthquake Sound
GTK_vt.txtMag 3.wav,Earthquake Sound
GTK_vt.txtMag 6.wav,Earthquake Sound
GUA.txtMag 4.wav,Earthquake Sound
GUA.txtMag 5.wav,Earthquake Sound
GUA_vt.txtMag 4.wav,Earthquake Sound
GUA_vt.txtMag 6.wav,Earthquake Sound
GUR.txtMag 4.wav,Earthquake Sound
GUW.txtMag 5.wav,Earthquake Sound
GUW_vt.txtMag 4.wav,Earthquake Sound
GUW_vt.txtMag 6.wav,Earthquake Sound
GV_vt.txtMag 7.wav,Earthquake Sound
HAM.txtMag 5.wav,Earthquake Sound
IGN_vt.txtMag 2.wav,Earthquake Sound
IGN_vt.txtMag 3.wav,Earthquake Sound
IGN_vt.txtMag 7.wav,Earthquake Sound
IIT_vt.txtMag 2.wav,Earthquake Sound
IIT_vt.txtMag 3.wav,Earthquake Sound
IMD_vt.txtMag 3.wav,Earthquake Sound
JHR.txtMag 5.wav,Earthquake Sound
JHR_vt.txtMag 6.wav,Earthquake Sound
JMU.txtMag 5.wav,Earthquake Sound
JUB.txtMag 4.wav,Earthquake Sound
JWI_vt.txtMag 6.wav,Earthquake Sound
KAP.txtMag 4.wav,Earthquake Sound
KAP_vt.txtMag 3.wav,Earthquake Sound
KAP_vt.txtMag 4.wav,Earthquake Sound
KLG_vt.txtMag 3.wav,Earthquake Sound
KLG_vt.txtMag 6.wav,Earthquake Sound
KOK.txtMag 4.wav,Earthquake Sound
KOK.txtMag 5.wav,Earthquake Sound
KOK_vt.txtMag 6.wav,Earthquake Sound
KRM.txtMag 4.wav,Earthquake Sound
KRM_vt.txtMag 6.wav,Earthquake Sound
KSL.txtMag 4.wav,Earthquake Sound
KSL.txtMag 5.wav,Earthquake Sound
KSL_vt.txtMag 6.wav,Earthquake Sound
KSL_vt.txtMag 7.wav,Earthquake Sound
KUL.txtMag 5.wav,Earthquake Sound
KUL_vt.txtMag 6.wav,Earthquake Sound
LKH.txtMag 4.wav,Earthquake Sound
LKH.txtMag 5.wav,Earthquake Sound
LKH_vt.txtMag 6.wav,Earthquake Sound
LN016.txtMag 4.wav,Earthquake Sound
Local Event (1).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (1).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (2).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (2).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (3).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (3).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (4).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (4).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (5).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (5).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (6).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (6).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (7).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (7).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (8).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (8).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (9).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (9).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (10).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (10).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (11).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (11).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (12).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (12).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (13).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (13).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (14).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (14).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (15).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (15).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (16).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (16).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (17).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (17).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (18).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (18).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (19).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (19).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (20).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (20).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (21).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (21).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (22).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (22).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (23).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (23).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (24).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (24).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (25).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (25).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (26).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (26).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (27).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (27).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (28).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (28).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (29).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (29).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (30).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (30).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (31).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (31).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (32).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (32).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (33).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (33).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (34).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (34).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (35).BADS__003_BADS__BH_Z_SAC.BADS__003_BADS__BH_Z_SAC.wav,Earthquake Sound
Local Event (35).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (36).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (37).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (38).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (39).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (40).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (41).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
Local Event (42).miniseed_BLGR__BH_Z_SAC.miniseed_BLGR__BH_Z_SAC.wav,Earthquake Sound
MAN.txtMag 4.wav,Earthquake Sound
MAN_vt.txtMag 3.wav,Earthquake Sound
MLD_vt.txtMag 6.wav,Earthquake Sound
MNG.txtMag 4.wav,Earthquake Sound
MNG_vt.txtMag 4.wav,Earthquake Sound
MNL_vt.txtMag 6.wav,Earthquake Sound
MOR.txtMag 4.wav,Earthquake Sound
MOR_vt.txtMag 4.wav,Earthquake Sound
MUN.txtMag 4.wav,Earthquake Sound
MUN.txtMag 5.wav,Earthquake Sound
MUN_vt.txtMag 3.wav,Earthquake Sound
NAU.txtMag 4.wav,Earthquake Sound
NAU.txtMag 5.wav,Earthquake Sound
NAU_vt.txtMag 3.wav,Earthquake Sound
NAU_vt.txtMag 6.wav,Earthquake Sound
NE001.txtMag 4.wav,Earthquake Sound
NKD.txtMag 4.wav,Earthquake Sound
NOI_vt.txtMag 3.wav,Earthquake Sound
NON_vt.txtMag 6.wav,Earthquake Sound
NTPC_vt.txtMag 2.wav,Earthquake Sound
NTPC_vt.txtMag 3.wav,Earthquake Sound
OG001.txtMag 4.wav,Earthquake Sound
PAU_vt.txtMag 3.wav,Earthquake Sound
PEO_vt.txtMag 3.wav,Earthquake Sound
PIT_vt.txtMag 3.wav,Earthquake Sound
PO_vt.txtMag 7.wav,Earthquake Sound
POR.txtMag 5.wav,Earthquake Sound
POR_vt.txtMag 6.wav,Earthquake Sound
POR_vt.txtMag 7.wav,Earthquake Sound
PTH.txtMag 4.wav,Earthquake Sound
PTH.txtMag 5.wav,Earthquake Sound
PTH_vt.txtMag 3.wav,Earthquake Sound
PTH_vt.txtMag 4.wav,Earthquake Sound
PTI.txtMag 4.wav,Earthquake Sound
PTI.txtMag 5.wav,Earthquake Sound
PTI_vt.txtMag 6.wav,Earthquake Sound
RAM.txtMag 5.wav,Earthquake Sound
RAM_vt.txtMag 6.wav,Earthquake Sound
RAX_vt.txtMag 6.wav,Earthquake Sound
RGD_vt.txtMag 2.wav,Earthquake Sound
RGD_vt.txtMag 3.wav,Earthquake Sound
ROH_vt.txtMag 3.wav,Earthquake Sound
ROH_vt.txtMag 4.wav,Earthquake Sound
Roo.txtMag 4.wav,Earthquake Sound
Roo.txtMag 5.wav,Earthquake Sound
Roo_vt.txtMag 4.wav,Earthquake Sound
Roo_vt.txtMag 6.wav,Earthquake Sound
Roo_vt.txtMag 7.wav,Earthquake Sound
SAL.txtMag 4.wav,Earthquake Sound
SBS_vt.txtMag 6.wav,Earthquake Sound
SHI_vt.txtMag 2.wav,Earthquake Sound
SLG.txtMag 4.wav,Earthquake Sound
SLG_vt.txtMag 6.wav,Earthquake Sound
SND_vt.txtMag 3.wav,Earthquake Sound
SND_vt.txtMag 6.wav,Earthquake Sound
SND_vt.txtMag 7.wav,Earthquake Sound
SON_vt.txtMag 3.wav,Earthquake Sound
TAN.txtMag 4.wav,Earthquake Sound
TEH.txtMag 4.wav,Earthquake Sound
TEJ_vt.txtMag 6.wav,Earthquake Sound
TIN.txtMag 4.wav,Earthquake Sound
TIN.txtMag 5.wav,Earthquake Sound
tur.txtMag 4.wav,Earthquake Sound
TW_vt.txtMag 7.wav,Earthquake Sound
TZP.txtMag 4.wav,Earthquake Sound
TZP.txtMag 5.wav,Earthquake Sound
TZP_vt.txtMag 3.wav,Earthquake Sound
TZP_vt.txtMag 4.wav,Earthquake Sound
UDH.txtMag 5.wav,Earthquake Sound
UDH_vt.txtMag 6.wav,Earthquake Sound
UTK_vt.txtMag 3.wav,Earthquake Sound
UTK_vt.txtMag 4.wav,Earthquake Sound
VCD.txtMag 5.wav,Earthquake Sound
VCD_vt.txtMag 2.wav,Earthquake Sound
VCD_vt.txtMag 3.wav,Earthquake Sound
VCD2013_vt.txtMag 2.wav,Earthquake Sound
VIKAS_vt.txtMag 3.wav,Earthquake Sound
Alipu_vt.txtMag 2.wav,Earthquake Sound
Alipu_vt.txtMag 3.wav,Earthquake Sound
ALM.txtMag 4.wav,Earthquake Sound
ALM.txtMag 5.wav,Earthquake Sound
ALW_vt.txtMag 3.wav,Earthquake Sound
AMB.txtMag 4.wav,Earthquake Sound
AMB.txtMag 5.wav,Earthquake Sound
ANC_vt.txtMag 2.wav,Earthquake Sound
ANC_vt.txtMag 3.wav,Earthquake Sound
ANC_vt.txtMag 7.wav,Earthquake Sound
2018D07.15e1700r00_0628_20180715_170000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.15e1700r00_0628_20180715_170000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.15e1700r00_0628_20180715_170000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.15e1900r00_0628_20180715_190000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.15e1900r00_0628_20180715_190000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.15e1900r00_0628_20180715_190000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.15e2100r00_0628_20180715_210000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.15e2100r00_0628_20180715_210000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.15e2100r00_0628_20180715_210000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.15e2300r00_0628_20180715_230000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.15e2300r00_0628_20180715_230000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.15e2300r00_0628_20180715_230000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.16e0100r00_0628_20180716_010000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.16e0100r00_0628_20180716_010000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.16e0100r00_0628_20180716_010000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.16e0300r00_0628_20180716_030000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.16e0300r00_0628_20180716_030000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.16e0300r00_0628_20180716_030000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.16e0500r00_0628_20180716_050000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.16e0500r00_0628_20180716_050000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.16e0500r00_0628_20180716_050000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.16e0700r00_0628_20180716_070000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.16e0700r00_0628_20180716_070000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.16e0700r00_0628_20180716_070000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.16e0900r00_0628_20180716_090000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.16e0900r00_0628_20180716_090000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.16e0900r00_0628_20180716_090000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.16e1100r00_0628_20180716_110000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.16e1100r00_0628_20180716_110000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.16e1100r00_0628_20180716_110000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.16e1300r00_0628_20180716_130000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.16e1300r00_0628_20180716_130000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.16e1300r00_0628_20180716_130000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.16e1500r00_0628_20180716_150000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.16e1500r00_0628_20180716_150000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.16e1500r00_0628_20180716_150000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.16e1700r00_0628_20180716_170000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.16e1700r00_0628_20180716_170000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.16e1700r00_0628_20180716_170000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.16e1900r00_0628_20180716_190000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.16e1900r00_0628_20180716_190000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.16e1900r00_0628_20180716_190000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.16e2100r00_0628_20180716_210000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.16e2100r00_0628_20180716_210000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.16e2100r00_0628_20180716_210000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.16e2300r00_0628_20180716_230000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
2018D07.16e2300r00_0628_20180716_230000.miniseed_BDRD__BH_N_SAC.miniseed_BDRD__BH_N_SAC.wav,Non-Earthquake Sound
2018D07.16e2300r00_0628_20180716_230000.miniseed_BDRD__BH_Z_SAC.miniseed_BDRD__BH_Z_SAC.wav,Non-Earthquake Sound
2018D07.17e0100r00_0628_20180717_010000.miniseed_BDRD__BH_E_SAC.miniseed_BDRD__BH_E_SAC.wav,Non-Earthquake Sound
